contractor_raw,normalized_name,ticker,parent_company,relationship,is_public,confidence,reasoning,resolved_at,resolver_model,llm_cache_key,skills_version
DOD Marine Constructors JV,DOD Marine Constructors,,,joint_venture,false,0.72,Joint venture (JV) in name per R-004; appears to be marine construction pool of private contractors.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
DRS Laurel Technologies Partnership,DRS Laurel Technologies Partnership,,,private,false,0.92,DRS Laurel Technologies is a small engineering firm not found in public-company databases; the $7.5M DoD award threshold is well within reach of untracked private contractors.,2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
DRS Network & Imaging Systems LLC,DRS Network & Imaging Systems,,,private,false,0.91,"Despite the DRS name prefix, this is a distinct small business unit operating as a private contractor, not the listed DRS Technologies Inc.",2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
DRS Sustainment Systems Inc.,DRS Sustainment Systems,,,private,false,0.91,Another DRS-branded operating unit; the narrowly-scoped sustainment name suggests a small specialized firm outside public-company tracking.,2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
DZSP 21 LLC,DZSP 21,,,private,false,0.94,"DZSP 21 is an obscure alphanumeric entity, almost certainly a small holding company or joint venture that is not publicly listed.",2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
"Dalcom LLC,*",Dalcom,,,private,false,0.9,Small 8(a) or disadvantaged business contractor marked with asterisk; no public parent identified.,2026-09-02 16:03:46,claude-haiku-4-5,e35d33e6f156b8f88dc42edbba8a91978222591eeebc380be328e568ae00feb1,sk-5c88474c
Damen Shipbuilding & Cooperation B.V.,Damen Shipbuilding & Cooperation,,,private,false,0.88,"Dutch shipbuilding group; privately held family-owned enterprise, not publicly listed despite significant scale.",2026-09-02 16:03:46,claude-haiku-4-5,e35d33e6f156b8f88dc42edbba8a91978222591eeebc380be328e568ae00feb1,sk-5c88474c
Davenport Aviation Inc.,Davenport Aviation,,,private,false,0.89,Small aviation services or maintenance contractor with no public company affiliation.,2026-09-02 16:03:46,claude-haiku-4-5,e35d33e6f156b8f88dc42edbba8a91978222591eeebc380be328e568ae00feb1,sk-5c88474c
"Dawson Federal Inc.,*",Dawson Federal,,,private,false,0.89,Small 8(a) federal contractor marked with asterisk; part of Dawson family of companies but none are publicly listed.,2026-09-02 16:03:46,claude-haiku-4-5,e35d33e6f156b8f88dc42edbba8a91978222591eeebc380be328e568ae00feb1,sk-5c88474c
"Dawson Solutions LLC,*",Dawson Solutions,,,private,false,0.9,Small 8(a) solutions contractor marked with asterisk; part of Dawson family of companies but not publicly traded.,2026-09-02 16:03:46,claude-haiku-4-5,e35d33e6f156b8f88dc42edbba8a91978222591eeebc380be328e568ae00feb1,sk-5c88474c
"Dawson Technical Inc.,*",Dawson Technical,,,private,false,0.9,Small 8(a) technical services contractor marked with asterisk; part of Dawson family of companies but not public.,2026-09-02 16:03:46,claude-haiku-4-5,e35d33e6f156b8f88dc42edbba8a91978222591eeebc380be328e568ae00feb1,sk-5c88474c
Decryptor Inc.,Decryptor,,,private,false,0.87,Cybersecurity or technical services firm; no match to any known publicly traded defense contractor.,2026-09-02 16:03:46,claude-haiku-4-5,e35d33e6f156b8f88dc42edbba8a91978222591eeebc380be328e568ae00feb1,sk-5c88474c
Deep Mile Networks LLC,Deep Mile Networks,,,private,false,0.92,Small LLC with no public presence; matches R-001 profile of private DoD contractors below recognition threshold.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
Defense Engineering Services LLC,Defense Engineering Services,,,private,false,0.93,Generic defense engineering shop name with no recognizable listing; consistent with R-001 private contractor profile.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
Defense Roofing Solutions 2 LLC,Defense Roofing Solutions 2,,,private,false,0.94,Specialized construction services firm with numbered variant; private small business typical of $7.5M+ award recipients.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
Deloitte Consulting LLP,Deloitte Consulting,,Deloitte Touche Tohmatsu Limited,private,false,0.95,"Deloitte Consulting LP is part of the Deloitte private professional-services partnership network, not a listed company.",2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
Deloitte Consulting LP,Deloitte Consulting,,Deloitte Touche Tohmatsu Limited,private,false,0.95,"Deloitte Consulting LP is part of the Deloitte private professional-services partnership network, not a listed company.",2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
"Delphinus Engineering Inc.,*",Delphinus Engineering,,,private,false,0.9,Small engineering firm with no public recognition; private contractor matching R-001 profile.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
"Delphinus Engineering, Inc.,*",Delphinus Engineering,,,private,false,0.9,Small engineering firm with no public recognition; private contractor matching R-001 profile.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
"Derecktor Florida Inc.,*",Derecktor Florida,,,private,false,0.88,"Marine construction specialist; Derecktor is a private shipyard company, not listed.",2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
Design Criteria Inc.,Design Criteria,,,private,false,0.91,Generic design engineering firm name with no public listing or parent company affiliation.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
"Design West Technologies Inc.,*",Design West Technologies,,,private,false,0.9,Technology services firm with no recognizable public company match; private contractor.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
"Design West Technologies,*",Design West Technologies,,,private,false,0.9,Technology services firm with no recognizable public company match; private contractor.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
Dewberry Engineers Inc.,Dewberry Engineers,,,private,false,0.89,Established engineering consulting firm but remains privately held; not listed on public exchanges.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
Diamond Antenna & Microwave Corp.,Diamond Antenna & Microwave,,,private,false,0.88,Specialized RF/microwave component manufacturer; private firm with no public affiliation.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
DigiFlight Inc.,DigiFlight,,,private,false,0.9,Flight test and engineering services firm; private contractor not listed publicly.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
Dignitas Technologies LLC,Dignitas Technologies,,,private,false,0.91,Technology services LLC with no public company match; private contractor matching R-001 profile.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
"Dills Architects Raymond JV LLC,*",Dills Architects Raymond JV,,,joint_venture,false,0.7,Joint venture designation (JV) per R-004; neither Dills Architects nor Raymond appear to be public companies.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
Doliveira Systems LLC,Doliveira Systems,,,private,false,0.9,Systems engineering firm with no public company affiliation; private contractor.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
Dominion Energy South Carolina Inc.,Dominion Energy South Carolina,D,Dominion Energy,subsidiary,true,0.88,Dominion Energy (ticker D) is a publicly listed utility; South Carolina subsidiary division per R-002.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
"Don Jones Construction Co. Inc.,*",Don Jones Construction,,,private,false,0.91,Regional construction contractor; private firm typical of small business DoD award recipients.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
Donjon Marine Co. LLC,Donjon Marine,,,private,false,0.89,Marine salvage and services company; privately held specialist firm not listed publicly.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
"Downrange Operations and Training LLC,*",Downrange Operations and Training,,,private,false,0.89,Military training services contractor; private firm with no public company parent.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
"Dragoon Technology LLC,*",Dragoon Technology,,,private,false,0.9,Defense technology firm with no public listing; small business contractor per R-001 profile.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
"Drake Air, Inc.",Drake Air,,,private,false,0.88,Aviation services or equipment firm; private contractor with no public company affiliation.,2026-09-02 16:03:57,claude-haiku-4-5,79eee29a4b436e8ea75599d11cf8e0d5db2e40bb24ca5b8dd49b495251deee6f,sk-5c88474c
DuoTech Services LLC,DuoTech Services,,,private,false,0.93,DuoTech Services is an unfamiliar small-business name with no public-company match in standard databases.,2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
"Dynamic-HHS JV LLC,*",Dynamic-HHS JV,,,joint_venture,false,0.72,"Joint venture structure (JV marker) between two unidentified private firms; neither partner is recognizably public, so ticket is null and confidence is capped below 0.75.",2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
Dynamo Technologies LLC,Dynamo Technologies,,,private,false,0.93,Dynamo Technologies is a small unfamiliar contractor name with no public listing or recognized parent company.,2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
"EA Engineering, Science and Technology Inc. PBC,*","EA Engineering, Science and Technology",,,private,false,0.92,"EA Engineering is a mid-size consulting and engineering firm; while reasonably well-known, it remains privately held and is not a subsidiary of any known public.",2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
ECS Federal LLC,ECS Federal,,,private,false,0.93,ECS Federal is a privately held federal contracting firm specializing in IT and engineering services; not a publicly traded company or recognized subsidiary.,2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
"EJC International Services LLC,*",EJC International Services,,,private,false,0.94,"EJC International Services is a small unfamiliar contractor name, typical of the untracked 8(a) and women-owned firms prevalent in DoD awards.",2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
"EL Ames,*",EL Ames,,,private,false,0.93,EL Ames is an obscure small-business entity name with no recognized public or parent-company affiliation.,2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
ENSCO Inc.,ENSCO,ESV,ENSCO International Incorporated,direct,true,0.92,ENSCO Inc. is a publicly traded offshore drilling and well intervention services company listed on the NYSE under ESV.,2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
ES3,ES3,,,private,false,0.8,ES3 is a generic acronym with no recognizable public company match; treated as private small contractor.,2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
"EVCON-CWC JV,*",EVCON-CWC JV,,,joint_venture,false,0.7,"EVCON-CWC is a joint venture between two private firms; neither parent is publicly listed, so relationship is joint_venture with null ticker.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
"East Coast Repair & Fabrication LLC,*",East Coast Repair & Fabrication,,,private,false,0.94,"East Coast Repair & Fabrication is a small regional shop, typical of the many untracked fabrication subcontractors below the public-company horizon.",2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
Eastern Shawnee – Bay West JV LLC,Eastern Shawnee – Bay West JV,,,joint_venture,false,0.71,Joint venture between two unidentified private partners (one possibly 8(a) small-business); neither is recognizably public.,2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
"Eaton Aerospace LLC, doing business as Eaton Aerospace Jackson",Eaton Aerospace,ETN,Eaton Corporation,subsidiary,true,0.88,"Eaton Aerospace is a division of Eaton Corporation (ETN), a publicly listed conglomerate with broad aerospace and electrical components operations.",2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
"Eaton Aerospace LLC, doing business as Eaton INOAC",Eaton Aerospace,ETN,Eaton Corporation,subsidiary,true,0.88,Same Eaton Aerospace division doing business under variant names (INOAC partnership); Eaton Corporation (ETN) is the listed parent.,2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
"Eaton Aerospace LLC, doing business as Jackson South",Eaton Aerospace,ETN,Eaton Corporation,subsidiary,true,0.88,Eaton Aerospace division operating under Jackson South DBA; Eaton Corporation (ETN) is the public parent.,2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
"Eaton Corp., doing business as Airframe",Eaton Airframe,ETN,Eaton Corporation,subsidiary,true,0.85,"Eaton Corp. divisions (Airframe segment) are part of publicly listed Eaton Corporation (ETN), a diversified industrial conglomerate.",2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
"Eaton Corp., doing business as Eaton Aerospace Jackson",Eaton Aerospace Jackson,ETN,Eaton Corporation,subsidiary,true,0.87,Another Eaton Corp. DBA for Eaton Aerospace Jackson; Eaton Corporation (ETN) is the listed ultimate parent.,2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
Elbit America Inc.,Elbit America,ESLT,Elbit Systems Ltd,subsidiary,true,0.95,"Elbit Systems of America (Elbit America) is the U.S. subsidiary of Elbit Systems Ltd, listed on Nasdaq/TASE as ESLT.",2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
Elroy Air Inc.,Elroy Air,,,private,false,0.88,"Elroy Air is a specialized drone/VTOL design firm founded in 2018; likely still private despite defense work, with no public listing or known parent acquisition.",2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
"Emerald Energy & Exploration Land Co.,*",Emerald Energy & Exploration Land,,,private,false,0.93,Emerald Energy & Exploration Land is a small private oil/gas or land-management company with no public listing.,2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
Emerson Construction Co.,Emerson Construction,,,private,false,0.92,Emerson Construction is a regional or small-scale construction firm; the generic name and lack of public listing indicate it is private.,2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
"Energy Resilience Partners LLC,*",Energy Resilience Partners,,,private,false,0.92,"Energy Resilience Partners is a specialized small-business partnership, likely focused on grid/infrastructure resilience consulting; no public listing detected.",2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
"Engineering Operations LLC,*",Engineering Operations,,,private,false,0.94,Engineering Operations is a generic small-firm name with no recognized public parent; typical of untracked specialized engineering shops.,2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
"Engineering Partners Inc.,*",Engineering Partners,,,private,false,0.94,Engineering Partners is a small private consulting or specialized engineering firm; the generic name and lack of listing indicate no public affiliation.,2026-09-02 16:04:11,claude-haiku-4-5,5a73c27e59c91c16e89f9e7d5f0fc064a5944ca21c8c40074978bad3eb04f6ff,sk-5c88474c
Ensign-Bickford Aerospace & Defense Co.,Ensign-Bickford Aerospace & Defense,,,private,false,0.88,"Ensign-Bickford Aerospace & Defense is a privately held aerospace and defense manufacturer owned by Ensign-Bickford Industries, not a public company.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
"Enterprise Engineering Inc.,*",Enterprise Engineering,,,private,false,0.85,"Enterprise Engineering is a small engineering firm below the public company threshold, consistent with typical DoD contractor profile.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Environmental Abatement Inc.,Environmental Abatement,,,private,false,0.9,"Environmental Abatement is a specialized environmental remediation contractor, a private firm typical of $7.5M+ DoD awards.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Environmental Chemical Corp.,Environmental Chemical Corporation,,,private,false,0.87,"Environmental Chemical Corporation is a private chemical processing and environmental services firm, not a listed entity.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Environmental Chemical Corporation,Environmental Chemical Corporation,,,private,false,0.87,"Environmental Chemical Corporation is a private chemical processing and environmental services firm, not a listed entity.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Environmental Systems Research Institute Inc.,Environmental Systems Research Institute,,,private,false,0.95,"Esri is a privately held, founder-owned GIS software company in Redlands, California.",2026-09-02 16:09:18,claude-opus-5,c34098b930f7dec54e80ac3ea34cc02969981e02a2bdab173882dc375a4af4b2,sk-5c88474c
Epsilon C5I Inc.,Epsilon C5I,,,private,false,0.88,"Epsilon C5I is a small specialized command-and-control software firm, consistent with private contractor profile.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
"Epsilon C5I Inc.,*",Epsilon C5I,,,private,false,0.88,"Epsilon C5I is a small specialized command-and-control software firm, consistent with private contractor profile.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
"Epsilon Systems Solutions Inc.,*",Epsilon Systems Solutions,,,private,false,0.87,"Epsilon Systems Solutions is a small systems engineering contractor, not a listed company.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
"Essex Industries,*",Essex Industries,,,private,false,0.83,"Essex Industries appears to be a small specialty manufacturing firm, not a publicly listed company.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Evans Composite Inc.,Evans Composite,,,private,false,0.88,"Evans Composite is a small composite materials manufacturer, typical of private DoD-eligible contractors.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Everaxis USA Inc.,Everaxis USA,,,private,false,0.85,"Everaxis USA is a small IT and systems integration contractor, not a listed company.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
ExpediteInfoTech Inc.,ExpediteInfoTech,,,private,false,0.87,"ExpediteInfoTech is a small information technology services firm, typical of private DoD contractors.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
"FSCX Inc.,*",FSCX,,,private,false,0.9,Small-business awardee with acronymic name; no match to any recognizable public entity.,2026-09-02 16:04:33,claude-haiku-4-5,811b4d501f7e7c90dffb17f3b06afddb21a5ac193aafe2b1acbdb4657d4d5368,sk-5c88474c
"Fairlead Boatworks, Inc.,*",Fairlead Boatworks,,,private,false,0.88,"Fairlead Boatworks is a small marine construction firm, below the profile of a public company.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Far Western Anthropological Research Group Inc.,Far Western Anthropological Research Group,,,private,false,0.9,"Far Western Anthropological Research Group is a specialized anthropological and cultural resources consulting firm, a private enterprise.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Farrell Lines Inc.,Farrell Lines,,,private,false,0.85,Farrell Lines is a shipping and maritime logistics company; privately held with no public listing.,2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Fed Serve LLC,Fed Serve,,,private,false,0.87,"Fed Serve is a small federal services contractor, not a public company.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
"FedVet Construction,*",FedVet Construction,,,private,false,0.89,"FedVet Construction is a small construction firm focused on federal work, a typical private contractor.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Federal Contracting Inc.,Federal Contracting,,,private,false,0.88,"Federal Contracting is a generic small contracting firm name, typical of private DoD contractors.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Federated Maritime LLC,Federated Maritime,,,private,false,0.86,"Federated Maritime is a small maritime services provider, not a listed entity.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Fincantieri Marine Systems North America,Fincantieri Marine Systems North America,FCT,Fincantieri,subsidiary,true,0.85,"Fincantieri Marine Systems North America is a subsidiary of Fincantieri, the Italian publicly listed shipbuilder (Borsa Italiana: FCT).",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Fire Creek Services Co.,Fire Creek Services,,,private,false,0.88,"Fire Creek Services is a small specialized services contractor, not a public company.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Firefly Aerospace,Firefly Aerospace,FFY,Firefly Aerospace Inc.,direct,true,0.8,"Firefly Aerospace is a commercial space launch provider that went public via SPAC in 2021, trading under FFY.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
FlightSafety Defense Corp.,FlightSafety Defense,FSI,FlightSafety International,subsidiary,true,0.82,"FlightSafety Defense is a division of FlightSafety International, a publicly traded aviation training and simulation company.",2026-09-02 16:04:22,claude-haiku-4-5,2d499773bb2e1598a834cc3d9a6c46bfed00178ebbc024878be834ca3aea6342,sk-5c88474c
Folsom Dam Constructors,Folsom Dam Constructors,,,private,false,0.92,Regional construction firm with no recognizable public parent; typical small-business DoD contractor below public-company scale.,2026-09-02 16:04:33,claude-haiku-4-5,811b4d501f7e7c90dffb17f3b06afddb21a5ac193aafe2b1acbdb4657d4d5368,sk-5c88474c
Fontaine Commercial Trailer Inc.,Fontaine Commercial Trailer,,,private,false,0.9,Fontaine trailer manufacturer operates privately despite size; not a publicly listed entity.,2026-09-02 16:04:33,claude-haiku-4-5,811b4d501f7e7c90dffb17f3b06afddb21a5ac193aafe2b1acbdb4657d4d5368,sk-5c88474c
"Fordice Construction Co.,*",Fordice Construction,,,private,false,0.91,Small regional construction firm marked as small-business awardee; no public parent known.,2026-09-02 16:04:33,claude-haiku-4-5,811b4d501f7e7c90dffb17f3b06afddb21a5ac193aafe2b1acbdb4657d4d5368,sk-5c88474c
Foss International LLC,Foss International,,,private,false,0.89,Marine services and construction firm; privately held despite market prominence.,2026-09-02 16:04:33,claude-haiku-4-5,811b4d501f7e7c90dffb17f3b06afddb21a5ac193aafe2b1acbdb4657d4d5368,sk-5c88474c
Foster-Miller Inc.,Foster-Miller,LHX,L3Harris Technologies Inc,subsidiary,true,0.85,Foster-Miller was acquired by L3 Technologies (now L3Harris) and operates as a division providing advanced engineering and robotics.,2026-09-02 16:04:33,claude-haiku-4-5,811b4d501f7e7c90dffb17f3b06afddb21a5ac193aafe2b1acbdb4657d4d5368,sk-5c88474c
Foster-Miller Inc. doing business as QinetiQ North America,Foster-Miller,LHX,L3Harris Technologies Inc,subsidiary,true,0.82,QinetiQ North America is the current brand for Foster-Miller operations under L3Harris ownership; same entity.,2026-09-02 16:04:33,claude-haiku-4-5,811b4d501f7e7c90dffb17f3b06afddb21a5ac193aafe2b1acbdb4657d4d5368,sk-5c88474c
"Frank M. Gargiulo & Son Inc.,*",Frank M. Gargiulo & Son,,,private,false,0.93,Family-owned construction firm marked as small-business awardee; no public affiliation.,2026-09-02 16:04:33,claude-haiku-4-5,811b4d501f7e7c90dffb17f3b06afddb21a5ac193aafe2b1acbdb4657d4d5368,sk-5c88474c
